Series,Order,5,4,3,2,1
Harry Potter,1,4224998,1502087,563970,129365,107046
Harry Potter,2,1487133,700244,286958,49059,11736
Harry Potter,3,1725638,624889,193423,24616,9932
Harry Potter,4,1591761,601924,177201,24075,9259
Harry Potter,5,1479022,600194,210508,36788,12322
Harry Potter,6,1532197,553111,159109,25154,9778
Harry Potter,7,1911121,521603,153725,32830,21659
Twilight Saga,1,1648177,1051709,954960,517481,528408
Twilight Saga,2,407940,332779,340233,183871,116633
Twilight Saga,3,455808,352032,302575,143330,94851
Twilight Saga,4,461134,302953,246425,131043,112491
Leviathan,1,28277,29195,17476,5210,2462
Leviathan,2,14873,14447,5620,836,341
Leviathan,3,13139,10775,4109,635,189
Rangers Apprentice,1,54932,38373,17136,3674,1636
Rangers Apprentice,2,50631,32873,13502,2228,783
Rangers Apprentice,3,29980,21918,10170,1626,509
Rangers Apprentice,4,40789,25073,9755,1485,611
Rangers Apprentice,5,27257,19072,8219,1219,542
Rangers Apprentice,6,27552,17436,6768,929,338
Rangers Apprentice,7,25104,15788,6342,990,340
Rangers Apprentice,8,23067,14741,6075,951,580
Rangers Apprentice,9,25285,13823,5167,791,266
Rangers Apprentice,10,24261,11830,4332,762,274
